ProcessName,RegionName,Time,Level,electricity,oil,gas,geo,heat,hydrogen,wind,lignite,biomass,water,uranium,solar,coal,hydro,waste,methanol,ammonia,CO2
Unit,-,Year,-,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,GJ/t,t/t,t/t,t/t
procAmm_NG,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8
procAmm_Coal,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9
procAmm_NG_CCS,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18
procAmm_Coal_CCS,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39
procAmm_Elec,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
procAmm_Bio,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
procChemFertiliz,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
